sample_id,stratum_name,x,y,heat,cooling_deficit,access_deficit,coastal_expo,social_vul,pareto_frontier,topsis_equal,topsis_entropy,rank_mean,rank_p10,rank_p90
0,historic_core,510875.0,4249875.0,42.9118,0.896,0.0048,0.3848,2.4838,False,0.2917,0.0553,1336.4405,890.0,1840.1
1,historic_core,511125.0,4249875.0,42.5503,0.8512,0.0044,0.3704,2.4838,False,0.284,0.0531,1477.5585,973.0,2083.1
2,historic_core,511375.0,4249875.0,42.44,0.72,0.0057,0.3542,2.3244,False,0.2623,0.0501,1894.487,1133.0,2740.2
3,historic_core,510125.0,4250125.0,45.0581,0.864,0.0065,0.4549,3.2457,False,0.3314,0.0655,896.882,361.9,1465.4
4,historic_core,510375.0,4250125.0,44.6178,0.6224,0.0067,0.4478,3.2457,False,0.3132,0.0636,1275.6935,503.8,2597.0
5,historic_core,510625.0,4250125.0,43.5152,0.984,0.0059,0.4378,3.2457,False,0.3361,0.0637,778.1205,306.0,1235.3
6,historic_core,510875.0,4250125.0,44.1231,0.8336,0.0052,0.4227,2.4838,False,0.2954,0.0602,1344.942,807.0,2013.2
7,historic_core,511125.0,4250125.0,42.0251,0.904,0.0048,0.4034,2.4838,False,0.2964,0.0579,1301.676,841.0,1802.4
8,historic_core,511375.0,4250125.0,42.7992,0.88,0.0058,0.3819,2.4612,False,0.2889,0.0549,1391.9015,921.0,1922.2
9,historic_core,511625.0,4250125.0,43.051,0.9216,0.008,0.3601,2.1502,False,0.2782,0.0522,1573.7245,1006.9,2230.1
10,historic_core,509875.0,4250375.0,43.8033,0.9056,0.0059,0.5183,3.8,False,0.365,0.0746,671.523,164.0,1182.1
11,historic_core,510125.0,4250375.0,44.3514,0.976,0.0071,0.5129,3.2457,False,0.3521,0.0738,680.957,266.9,1109.1
12,historic_core,510375.0,4250375.0,44.3449,0.9584,0.0075,0.5031,3.2457,False,0.3488,0.0725,712.056,287.0,1146.1
13,historic_core,510625.0,4250375.0,43.7834,0.9952,0.0059,0.4891,3.2457,False,0.3479,0.0706,698.6505,268.8,1138.3
14,historic_core,510875.0,4250375.0,43.4227,0.9296,0.0061,0.4672,2.4838,False,0.3144,0.0668,1082.2395,636.9,1589.1
15,historic_core,511125.0,4250375.0,43.1395,0.8848,0.006,0.4406,2.4612,False,0.3033,0.0629,1242.9115,752.9,1803.1
16,historic_core,511375.0,4250375.0,42.9357,0.9408,0.0048,0.4126,2.4612,False,0.3015,0.0593,1193.2675,746.0,1685.1
17,historic_core,511625.0,4250375.0,42.9109,0.9984,0.0061,0.3847,2.1502,False,0.2914,0.0557,1335.3245,689.9,2104.2
18,historic_core,509625.0,4250625.0,43.3302,0.9952,0.0056,0.6263,3.3612,False,0.3809,0.0888,543.893,196.9,950.0
19,historic_core,509875.0,4250625.0,43.0706,0.9536,0.006,0.5903,3.3612,False,0.3704,0.084,619.446,228.8,1068.2
20,historic_core,510125.0,4250625.0,43.7626,0.9472,0.0065,0.5875,3.7548,False,0.3808,0.0839,558.611,153.0,994.1
21,historic_core,510375.0,4250625.0,42.6704,0.88,0.0063,0.5739,3.2457,False,0.3587,0.0815,754.276,305.9,1330.0
22,historic_core,510625.0,4250625.0,42.823,0.9808,0.0056,0.553,3.2457,False,0.3605,0.079,655.614,258.0,1089.1
23,historic_core,510875.0,4250625.0,43.0845,0.9264,0.0042,0.5203,2.4612,False,0.326,0.0737,1025.237,546.0,1591.1
24,historic_core,511125.0,4250625.0,43.5274,0.992,0.0047,0.4828,2.4612,False,0.3226,0.069,959.8715,496.0,1496.1
25,historic_core,511375.0,4250625.0,42.4426,0.9904,0.0039,0.4451,2.1502,False,0.3041,0.0637,1244.2055,642.9,2075.0
26,historic_core,511625.0,4250625.0,42.3641,0.9968,0.0039,0.4098,2.1502,False,0.2964,0.0589,1306.3595,683.0,2117.3
27,historic_core,511875.0,4250625.0,42.8619,0.9936,0.0044,0.3777,2.7742,False,0.3087,0.0552,1016.4485,511.9,1506.2
28,historic_core,512125.0,4250625.0,44.1377,0.9776,0.0054,0.349,2.7742,False,0.302,0.0513,1069.4015,578.8,1533.1
29,historic_core,509875.0,4250875.0,42.7925,0.8368,0.0066,0.6923,3.3612,False,0.3867,0.0971,655.2435,221.0,1306.0
30,historic_core,510125.0,4250875.0,44.0077,0.9712,0.0061,0.6876,3.7548,False,0.4031,0.097,452.4155,123.0,850.1
31,historic_core,510375.0,4250875.0,43.9664,0.9584,0.0053,0.6679,2.8506,False,0.3749,0.0938,642.7055,274.0,1121.0
32,historic_core,510625.0,4250875.0,43.6447,0.9216,0.0042,0.6323,3.1086,False,0.3708,0.089,661.5025,283.9,1139.6
33,historic_core,510875.0,4250875.0,42.8489,0.9888,0.0044,0.5816,2.8384,False,0.3559,0.0824,713.695,329.0,1175.0
34,historic_core,511125.0,4250875.0,42.94,1.0,0.0041,0.528,2.8384,False,0.3443,0.0753,760.856,352.0,1221.2
35,historic_core,511375.0,4250875.0,42.6885,0.9712,0.0035,0.4781,2.641,False,0.3245,0.0683,940.8965,518.0,1415.3
36,historic_core,511625.0,4250875.0,42.5633,0.9968,0.0033,0.4336,2.641,False,0.3165,0.0625,974.902,503.9,1456.4
37,historic_core,511875.0,4250875.0,42.9793,1.0,0.0034,0.395,2.6587,False,0.3091,0.0573,1022.9165,524.0,1508.1
38,historic_core,511125.0,4251125.0,42.6917,0.984,0.0035,0.5722,2.8384,False,0.3532,0.0811,734.5845,352.0,1197.0
39,historic_core,511375.0,4251125.0,41.9711,0.984,0.0029,0.5067,2.5272,False,0.3287,0.0721,944.795,485.9,1476.1
40,historic_core,511625.0,4251125.0,42.1992,0.9968,0.0031,0.4533,2.6684,False,0.3216,0.0651,938.06,480.7,1417.3
41,historic_core,511875.0,4251125.0,41.8941,0.9936,0.0028,0.4152,2.6587,False,0.3124,0.06,1020.2165,545.0,1507.0
42,historic_core,510375.0,4251375.0,38.3012,0.9632,0.0089,0.978,3.5254,True,0.4541,0.1336,363.1795,24.0,789.1
43,historic_core,511125.0,4251375.0,42.8448,0.9456,0.0038,0.6061,2.9714,False,0.3622,0.0855,704.745,320.0,1178.2
44,historic_core,510625.0,4251625.0,38.7297,0.7568,0.0123,0.9125,2.9338,False,0.4225,0.1255,710.9905,94.0,1825.3
45,historic_core,510875.0,4251875.0,39.8388,0.688,0.0143,0.8524,2.9338,False,0.407,0.1182,822.182,138.0,2216.5
