sample_id,stratum_name,heat,cooling_deficit,access_deficit,coastal_expo,social_vul,topsis_entropy,pareto_frontier,rank_mean,rank_p10,rank_p90
1571,waterfront_transformation,37.636,0.771,1.0,0.97,4.692,0.994,True,29.918,1.0,21.0
1646,waterfront_transformation,37.095,0.947,1.0,0.988,3.151,0.993,True,36.758,2.0,86.2
1647,waterfront_transformation,38.788,0.84,1.0,0.96,3.151,0.99,True,41.838,4.0,103.2
1685,waterfront_transformation,42.097,1.0,1.0,0.948,3.077,0.989,True,24.396,1.0,54.0
3026,industrial_logistics,42.034,0.998,1.0,0.948,3.077,0.989,False,25.568,2.0,55.1
1566,waterfront_transformation,37.676,0.514,1.0,0.928,4.692,0.985,True,109.923,2.0,100.1
3665,peripheral_expansion,40.184,0.568,1.0,0.908,2.696,0.981,False,167.248,7.0,390.3
1686,waterfront_transformation,45.383,1.0,1.0,0.853,3.513,0.977,True,14.562,1.0,40.1
821,apartment_block,40.124,0.922,1.0,0.811,3.12,0.97,False,45.093,6.0,139.0
1653,waterfront_transformation,39.98,0.541,1.0,0.851,0.0,0.967,False,675.33,12.0,3119.1
1781,waterfront_transformation,41.55,0.63,1.0,0.796,2.079,0.966,False,270.276,10.0,954.8
3583,peripheral_expansion,40.231,0.6,1.0,0.77,2.59,0.963,False,198.037,11.0,497.0
3506,peripheral_expansion,39.578,0.49,1.0,0.723,2.998,0.956,False,225.242,11.0,409.0
1800,waterfront_transformation,41.9,0.571,1.0,0.67,2.079,0.948,False,351.259,14.0,1244.1
1086,apartment_block,44.145,0.928,1.0,0.556,3.513,0.934,False,85.496,4.0,351.1
247,grid_residential,42.05,0.344,1.0,0.54,3.5,0.93,False,328.24,10.0,692.1
515,grid_residential,39.196,0.76,1.0,0.504,2.696,0.926,False,220.912,14.0,591.0
521,grid_residential,40.878,0.744,1.0,0.484,2.696,0.923,False,231.13,15.0,637.1
2060,hillside_incremental,42.809,0.221,1.0,0.489,2.806,0.922,False,485.29,19.0,1560.5
3520,peripheral_expansion,40.892,0.17,1.0,0.483,3.123,0.922,False,479.916,17.0,1627.1
