sample_id,stratum_name,cl250,cl500
0,historic_core,1,1
1,historic_core,1,1
2,historic_core,1,1
3,historic_core,1,1
4,historic_core,1,1
5,historic_core,1,1
6,historic_core,1,1
7,historic_core,1,1
8,historic_core,1,1
9,historic_core,1,1
10,historic_core,1,1
11,historic_core,1,1
12,historic_core,1,1
13,historic_core,1,1
14,historic_core,1,1
15,historic_core,1,1
16,historic_core,1,1
17,historic_core,1,1
18,historic_core,1,1
19,historic_core,1,1
20,historic_core,1,1
21,historic_core,1,1
22,historic_core,1,1
23,historic_core,1,1
24,historic_core,1,1
25,historic_core,1,1
26,historic_core,1,1
27,historic_core,1,1
28,historic_core,1,1
29,historic_core,1,1
30,historic_core,1,1
31,historic_core,1,1
32,historic_core,1,1
33,historic_core,1,1
34,historic_core,1,1
35,historic_core,1,1
36,historic_core,1,1
37,historic_core,1,1
38,historic_core,1,1
39,historic_core,1,1
40,historic_core,1,1
41,historic_core,1,1
42,historic_core,2,2
43,historic_core,1,1
44,historic_core,2,2
45,historic_core,1,2
46,historic_core,2,2
47,historic_core,1,1
48,historic_core,4,2
49,historic_core,1,1
50,historic_core,1,1
51,historic_core,1,1
52,historic_core,2,2
53,historic_core,1,1
54,historic_core,1,1
55,historic_core,1,1
56,historic_core,1,1
57,historic_core,1,1
58,historic_core,1,1
59,historic_core,1,1
60,historic_core,1,1
61,historic_core,2,2
62,historic_core,1,1
63,historic_core,1,1
64,historic_core,1,1
65,historic_core,1,1
66,historic_core,1,1
67,historic_core,1,1
68,historic_core,1,1
69,historic_core,1,1
70,historic_core,1,1
71,historic_core,2,2
72,historic_core,1,1
73,historic_core,1,1
74,historic_core,1,1
75,historic_core,1,1
76,historic_core,1,2
77,historic_core,1,1
78,historic_core,2,1
79,historic_core,2,2
80,historic_core,1,1
81,historic_core,1,1
82,historic_core,1,1
83,historic_core,1,1
84,historic_core,1,1
85,historic_core,1,1
86,historic_core,1,1
87,historic_core,4,2
88,historic_core,1,1
89,historic_core,1,1
90,historic_core,2,1
91,historic_core,4,2
92,historic_core,1,1
93,historic_core,2,2
94,historic_core,1,1
95,historic_core,1,1
96,historic_core,1,1
97,historic_core,2,1
98,historic_core,1,1
99,historic_core,2,2
100,historic_core,1,1
101,historic_core,1,1
102,historic_core,1,1
103,historic_core,1,1
104,historic_core,2,1
105,historic_core,1,1
106,historic_core,1,1
107,historic_core,1,1
108,historic_core,1,1
109,historic_core,1,1
110,grid_residential,4,2
111,grid_residential,4,2
112,grid_residential,4,2
113,grid_residential,3,3
114,grid_residential,4,2
115,grid_residential,4,2
116,grid_residential,4,2
117,grid_residential,4,2
118,grid_residential,4,2
119,grid_residential,2,3
120,grid_residential,4,2
121,grid_residential,4,2
122,grid_residential,2,2
123,grid_residential,4,2
124,grid_residential,4,3
125,grid_residential,2,2
126,grid_residential,4,2
127,grid_residential,2,3
128,grid_residential,4,2
129,grid_residential,4,2
130,grid_residential,4,2
131,grid_residential,4,2
132,grid_residential,2,3
133,grid_residential,2,2
134,grid_residential,4,2
135,grid_residential,4,2
136,grid_residential,2,2
137,grid_residential,4,2
138,grid_residential,2,2
139,grid_residential,2,2
140,grid_residential,2,2
141,grid_residential,2,2
142,grid_residential,4,2
143,grid_residential,2,3
144,grid_residential,2,3
145,grid_residential,2,2
146,grid_residential,2,3
147,grid_residential,2,2
148,grid_residential,4,2
149,grid_residential,4,2
150,grid_residential,2,2
151,grid_residential,4,3
152,grid_residential,4,2
153,grid_residential,4,2
154,grid_residential,2,2
155,grid_residential,4,3
156,grid_residential,4,2
157,grid_residential,4,3
158,grid_residential,4,2
159,grid_residential,4,2
160,grid_residential,2,2
161,grid_residential,2,1
162,grid_residential,4,2
163,grid_residential,4,2
164,grid_residential,4,2
165,grid_residential,2,2
166,grid_residential,2,2
167,grid_residential,4,2
168,grid_residential,4,2
169,grid_residential,4,2
170,grid_residential,1,1
171,grid_residential,1,1
172,grid_residential,4,2
173,grid_residential,4,2
174,grid_residential,4,2
175,grid_residential,2,1
176,grid_residential,4,2
177,grid_residential,4,2
178,grid_residential,4,2
179,grid_residential,2,2
180,grid_residential,4,2
181,grid_residential,4,2
182,grid_residential,4,2
183,grid_residential,4,2
184,grid_residential,2,2
185,grid_residential,4,2
186,grid_residential,4,3
187,grid_residential,4,2
188,grid_residential,3,3
189,grid_residential,4,3
190,grid_residential,4,2
191,grid_residential,2,2
192,grid_residential,4,2
193,grid_residential,4,2
194,grid_residential,3,3
195,grid_residential,4,2
196,grid_residential,2,2
197,grid_residential,4,2
198,grid_residential,2,2
199,grid_residential,4,2
200,grid_residential,4,2
201,grid_residential,4,2
202,grid_residential,4,2
203,grid_residential,2,2
204,grid_residential,4,3
205,grid_residential,4,2
206,grid_residential,2,2
207,grid_residential,4,2
208,grid_residential,4,2
209,grid_residential,4,2
210,grid_residential,4,2
211,grid_residential,4,2
212,grid_residential,4,2
213,grid_residential,4,2
214,grid_residential,4,2
215,grid_residential,2,2
216,grid_residential,4,2
217,grid_residential,4,2
218,grid_residential,1,2
219,grid_residential,1,1
220,grid_residential,4,3
221,grid_residential,4,2
222,grid_residential,4,3
223,grid_residential,4,2
224,grid_residential,4,2
225,grid_residential,4,3
226,grid_residential,4,2
227,grid_residential,4,2
228,grid_residential,4,2
229,grid_residential,4,2
230,grid_residential,4,2
231,grid_residential,4,2
232,grid_residential,2,2
233,grid_residential,2,2
234,grid_residential,4,2
235,grid_residential,4,2
236,grid_residential,4,3
237,grid_residential,4,3
238,grid_residential,4,2
239,grid_residential,4,2
240,grid_residential,4,2
241,grid_residential,2,1
242,grid_residential,4,2
243,grid_residential,4,2
244,grid_residential,4,2
245,grid_residential,4,2
246,grid_residential,4,2
247,grid_residential,3,3
248,grid_residential,4,2
249,grid_residential,4,2
250,grid_residential,1,1
251,grid_residential,4,2
252,grid_residential,2,2
253,grid_residential,4,2
254,grid_residential,4,2
255,grid_residential,4,2
256,grid_residential,2,2
257,grid_residential,2,2
258,grid_residential,2,2
259,grid_residential,2,2
260,grid_residential,2,2
261,grid_residential,2,2
262,grid_residential,1,1
263,grid_residential,4,2
264,grid_residential,2,2
265,grid_residential,2,2
266,grid_residential,2,2
267,grid_residential,4,2
268,grid_residential,1,1
269,grid_residential,2,2
270,grid_residential,4,2
271,grid_residential,2,2
272,grid_residential,2,2
273,grid_residential,4,2
274,grid_residential,2,2
275,grid_residential,2,1
276,grid_residential,4,2
277,grid_residential,4,1
278,grid_residential,2,2
279,grid_residential,2,2
280,grid_residential,2,2
281,grid_residential,2,2
282,grid_residential,1,2
283,grid_residential,4,2
284,grid_residential,1,1
285,grid_residential,2,2
286,grid_residential,1,1
287,grid_residential,1,1
288,grid_residential,1,1
289,grid_residential,4,2
290,grid_residential,4,3
291,grid_residential,4,3
292,grid_residential,4,2
293,grid_residential,2,2
294,grid_residential,2,2
295,grid_residential,2,1
296,grid_residential,2,1
297,grid_residential,1,1
298,grid_residential,4,3
299,grid_residential,4,3
300,grid_residential,4,2
301,grid_residential,4,2
302,grid_residential,4,2
303,grid_residential,1,2
304,grid_residential,2,2
305,grid_residential,1,1
306,grid_residential,2,1
307,grid_residential,2,1
308,grid_residential,4,2
309,grid_residential,1,1
310,grid_residential,2,1
311,grid_residential,4,2
312,grid_residential,2,1
313,grid_residential,2,1
314,grid_residential,2,1
315,grid_residential,4,2
316,grid_residential,4,2
317,grid_residential,4,2
318,grid_residential,4,2
319,grid_residential,4,2
320,grid_residential,4,3
321,grid_residential,4,3
322,grid_residential,4,2
323,grid_residential,4,2
324,grid_residential,4,2
325,grid_residential,4,2
326,grid_residential,4,2
327,grid_residential,4,2
328,grid_residential,1,1
329,grid_residential,4,2
330,grid_residential,4,3
331,grid_residential,4,2
332,grid_residential,4,2
333,grid_residential,4,2
334,grid_residential,4,2
335,grid_residential,4,2
336,grid_residential,4,2
337,grid_residential,4,3
338,grid_residential,4,2
339,grid_residential,2,2
340,grid_residential,4,2
341,grid_residential,4,2
342,grid_residential,4,2
343,grid_residential,4,2
344,grid_residential,2,2
345,grid_residential,1,1
346,grid_residential,4,2
347,grid_residential,4,2
348,grid_residential,4,2
349,grid_residential,4,2
350,grid_residential,1,1
351,grid_residential,4,2
352,grid_residential,2,2
353,grid_residential,4,2
354,grid_residential,2,2
355,grid_residential,4,2
356,grid_residential,4,2
357,grid_residential,2,2
358,grid_residential,2,2
359,grid_residential,2,2
360,grid_residential,2,2
361,grid_residential,4,2
362,grid_residential,4,2
363,grid_residential,4,2
364,grid_residential,2,2
365,grid_residential,2,2
366,grid_residential,4,2
367,grid_residential,2,2
368,grid_residential,2,1
369,grid_residential,4,2
370,grid_residential,4,2
371,grid_residential,4,2
372,grid_residential,2,2
373,grid_residential,2,2
374,grid_residential,2,2
375,grid_residential,2,2
376,grid_residential,1,1
377,grid_residential,1,1
378,grid_residential,2,2
379,grid_residential,4,2
380,grid_residential,4,2
381,grid_residential,4,2
382,grid_residential,2,2
383,grid_residential,1,1
384,grid_residential,2,2
385,grid_residential,4,2
386,grid_residential,1,1
387,grid_residential,2,2
388,grid_residential,2,2
389,grid_residential,4,2
390,grid_residential,4,2
391,grid_residential,4,2
392,grid_residential,2,2
393,grid_residential,4,2
394,grid_residential,4,2
395,grid_residential,2,1
396,grid_residential,2,2
397,grid_residential,2,2
398,grid_residential,4,2
399,grid_residential,4,2
400,grid_residential,4,2
401,grid_residential,4,3
402,grid_residential,4,3
403,grid_residential,4,2
404,grid_residential,4,2
405,grid_residential,4,2
406,grid_residential,4,2
407,grid_residential,4,2
408,grid_residential,4,2
409,grid_residential,4,2
410,grid_residential,4,2
411,grid_residential,4,2
412,grid_residential,4,2
413,grid_residential,4,3
414,grid_residential,2,2
415,grid_residential,4,3
416,grid_residential,2,2
417,grid_residential,2,2
418,grid_residential,4,2
419,grid_residential,2,2
420,grid_residential,4,2
421,grid_residential,4,2
422,grid_residential,4,2
423,grid_residential,4,3
424,grid_residential,2,2
425,grid_residential,2,2
426,grid_residential,2,1
427,grid_residential,1,1
428,grid_residential,2,2
429,grid_residential,2,2
430,grid_residential,4,2
431,grid_residential,2,2
432,grid_residential,2,2
433,grid_residential,2,2
434,grid_residential,2,3
435,grid_residential,4,2
436,grid_residential,2,2
437,grid_residential,4,2
438,grid_residential,4,2
439,grid_residential,2,2
440,grid_residential,2,2
441,grid_residential,4,2
442,grid_residential,4,2
443,grid_residential,3,3
444,grid_residential,2,2
445,grid_residential,2,2
446,grid_residential,2,2
447,grid_residential,4,2
448,grid_residential,2,2
449,grid_residential,1,1
450,grid_residential,2,2
451,grid_residential,4,2
452,grid_residential,4,2
453,grid_residential,4,2
454,grid_residential,4,2
455,grid_residential,2,2
456,grid_residential,2,2
457,grid_residential,2,2
458,grid_residential,3,3
459,grid_residential,4,3
460,grid_residential,4,3
461,grid_residential,1,1
462,grid_residential,4,2
463,grid_residential,2,2
464,grid_residential,4,2
465,grid_residential,2,2
466,grid_residential,4,2
467,grid_residential,1,2
468,grid_residential,4,2
469,grid_residential,2,2
470,grid_residential,2,2
471,grid_residential,4,2
472,grid_residential,4,2
473,grid_residential,2,2
474,grid_residential,4,2
475,grid_residential,4,2
476,grid_residential,4,2
477,grid_residential,2,2
478,grid_residential,2,1
479,grid_residential,2,2
480,grid_residential,1,1
481,grid_residential,2,2
482,grid_residential,4,2
483,grid_residential,4,2
484,grid_residential,4,2
485,grid_residential,4,2
486,grid_residential,4,2
487,grid_residential,4,2
488,grid_residential,2,2
489,grid_residential,1,1
490,grid_residential,4,2
491,grid_residential,4,2
492,grid_residential,4,2
493,grid_residential,2,2
494,grid_residential,2,2
495,grid_residential,2,1
496,grid_residential,2,2
497,grid_residential,2,2
498,grid_residential,2,1
499,grid_residential,2,2
500,grid_residential,2,2
501,grid_residential,2,2
502,grid_residential,2,2
503,grid_residential,2,2
504,grid_residential,2,2
505,grid_residential,4,2
506,grid_residential,1,1
507,grid_residential,2,1
508,grid_residential,2,1
509,grid_residential,2,2
510,grid_residential,2,1
511,grid_residential,2,1
512,grid_residential,4,1
513,grid_residential,1,1
514,grid_residential,4,2
515,grid_residential,3,3
516,grid_residential,4,3
517,grid_residential,1,1
518,grid_residential,2,2
519,grid_residential,1,1
520,grid_residential,4,2
521,grid_residential,3,3
522,grid_residential,4,3
523,grid_residential,1,1
524,grid_residential,2,1
525,grid_residential,1,1
526,grid_residential,4,2
527,grid_residential,3,3
528,grid_residential,4,2
529,grid_residential,2,2
530,grid_residential,2,2
531,grid_residential,1,1
532,grid_residential,2,2
533,grid_residential,4,3
534,grid_residential,4,3
535,grid_residential,2,2
536,grid_residential,2,2
537,grid_residential,4,2
538,grid_residential,2,2
539,grid_residential,1,2
540,grid_residential,2,2
541,grid_residential,4,2
542,grid_residential,4,2
543,grid_residential,4,2
544,grid_residential,4,2
545,grid_residential,4,2
546,grid_residential,2,1
547,grid_residential,2,2
548,grid_residential,2,2
549,grid_residential,4,2
550,grid_residential,2,1
551,grid_residential,2,2
552,grid_residential,2,2
553,grid_residential,4,2
554,grid_residential,4,2
555,grid_residential,2,2
556,grid_residential,2,1
557,grid_residential,1,1
558,grid_residential,2,1
559,grid_residential,2,1
560,grid_residential,2,2
561,grid_residential,4,2
562,grid_residential,4,2
563,grid_residential,4,2
564,grid_residential,4,2
565,grid_residential,2,2
566,grid_residential,2,2
567,grid_residential,4,2
568,grid_residential,1,1
569,grid_residential,4,2
570,grid_residential,4,2
571,grid_residential,4,2
572,grid_residential,4,2
573,grid_residential,4,2
574,grid_residential,4,3
575,grid_residential,4,2
576,grid_residential,4,2
577,grid_residential,4,3
578,grid_residential,2,2
579,grid_residential,4,2
580,grid_residential,4,3
581,grid_residential,4,2
582,grid_residential,2,3
583,grid_residential,4,2
584,grid_residential,4,2
585,grid_residential,4,2
586,grid_residential,2,2
587,grid_residential,2,2
588,grid_residential,2,3
589,grid_residential,4,2
590,grid_residential,4,2
591,grid_residential,2,2
592,grid_residential,4,2
593,grid_residential,2,2
594,grid_residential,2,2
595,grid_residential,2,1
596,grid_residential,2,2
597,grid_residential,2,2
598,grid_residential,2,2
599,grid_residential,4,2
600,grid_residential,4,2
601,apartment_block,2,2
602,apartment_block,1,1
603,apartment_block,2,1
604,apartment_block,2,2
605,apartment_block,2,2
606,apartment_block,2,2
607,apartment_block,1,1
608,apartment_block,1,1
609,apartment_block,1,1
610,apartment_block,1,1
611,apartment_block,2,1
612,apartment_block,2,1
